trade_date,symbol,company_name,sector,open_price,high_price,low_price,close_price,Volume,turnover,market_cap
03-09-2003,MARUTI,Maruti Suzuki India Ltd,Automobile,227.1,231.75,221,222.8,3945233,89300000000000.00,0.1977
04-09-2003,MARUTI,Maruti Suzuki India Ltd,Automobile,223,225.7,218.45,221.55,3682478,81600000000000.00,0.3383
05-09-2003,MARUTI,Maruti Suzuki India Ltd,Automobile,223.9,230,222.4,229.3,2971415,67100000000000.00,0.3287
08-09-2003,MARUTI,Maruti Suzuki India Ltd,Automobile,231,233.9,227.15,228.75,1817991,41900000000000.00,0.2838
09-09-2003,MARUTI,Maruti Suzuki India Ltd,Automobile,230,235,225.8,228.2,2034401,46400000000000.00,0.466
10-09-2003,MARUTI,Maruti Suzuki India Ltd,Automobile,227.75,230.4,225.8,227.8,1476667,33700000000000.00,0.1822
11-09-2003,MARUTI,Maruti Suzuki India Ltd,Automobile,230,230.1,225,225.65,1092801,24900000000000.00,0.279
12-09-2003,MARUTI,Maruti Suzuki India Ltd,Automobile,228,228.5,219.1,220.35,2496597,55500000000000.00,0.415
15-09-2003,MARUTI,Maruti Suzuki India Ltd,Automobile,219,221.35,207.1,208.35,3469640,73200000000000.00,0.396
16-09-2003,MARUTI,Maruti Suzuki India Ltd,Automobile,207,210,195.1,208.5,4004037,81300000000000.00,0.296
17-09-2003,MARUTI,Maruti Suzuki India Ltd,Automobile,212.5,219.5,209.25,216.05,3800473,81500000000000.00,0.3205
18-09-2003,MARUTI,Maruti Suzuki India Ltd,Automobile,215.9,215.9,203.4,205.6,2813556,58800000000000.00,0.322
19-09-2003,MARUTI,Maruti Suzuki India Ltd,Automobile,207,210.4,198.8,205.75,3442717,70400000000000.00,0.264
22-09-2003,MARUTI,Maruti Suzuki India Ltd,Automobile,206,212.8,205.75,210.7,2575343,54000000000000.00,0.2813
23-09-2003,MARUTI,Maruti Suzuki India Ltd,Automobile,210.3,214.4,208.2,213.15,1766451,37300000000000.00,0.1822
24-09-2003,MARUTI,Maruti Suzuki India Ltd,Automobile,216,221,213.1,219.95,2133208,46400000000000.00,0.3148
25-09-2003,MARUTI,Maruti Suzuki India Ltd,Automobile,220.1,220.1,211.5,213.7,1916650,41400000000000.00,0.3973
26-09-2003,MARUTI,Maruti Suzuki India Ltd,Automobile,214.4,217.85,213.1,214.8,2531520,54500000000000.00,0.4517
29-09-2003,MARUTI,Maruti Suzuki India Ltd,Automobile,216,229.45,215.15,227.2,3711837,82900000000000.00,0.3125
30-09-2003,MARUTI,Maruti Suzuki India Ltd,Automobile,230,233.35,228,232.55,3594810,83200000000000.00,0.2942
01-10-2003,MARUTI,Maruti Suzuki India Ltd,Automobile,232,233,227.1,228.45,2402620,55200000000000.00,0.2546
03-10-2003,MARUTI,Maruti Suzuki India Ltd,Automobile,229,235,228.9,234.4,2511914,58400000000000.00,0.3811
06-10-2003,MARUTI,Maruti Suzuki India Ltd,Automobile,236.6,242.35,235,241.3,3094324,74300000000000.00,0.3145
07-10-2003,MARUTI,Maruti Suzuki India Ltd,Automobile,244,246.4,236.05,237.55,2440562,59100000000000.00,0.1891
08-10-2003,MARUTI,Maruti Suzuki India Ltd,Automobile,238.75,245,237.1,240.25,1859277,44800000000000.00,0.1629
09-10-2003,MARUTI,Maruti Suzuki India Ltd,Automobile,240.85,259.75,240.85,258.05,6993550,177000000000000.00,0.192
10-10-2003,MARUTI,Maruti Suzuki India Ltd,Automobile,260.65,272.4,259.8,269.1,3707816,98400000000000.00,0.1986
13-10-2003,MARUTI,Maruti Suzuki India Ltd,Automobile,273,280.35,272,276.1,3693070,102000000000000.00,0.1461
14-10-2003,MARUTI,Maruti Suzuki India Ltd,Automobile,278,278.6,262.8,264.9,5123854,138000000000000.00,0.1828
